Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Brassica juncea,34.54,67.55,230,7.15,14.54,0.1
Brassica juncea,28.3,66.91,3332,7.1,14.41,1.61
Brassica juncea,21.78,84.87,2883,6.77,15.7,3.84
Brassica juncea,24.44,46.37,330,7.68,8.8,0.0
Brassica juncea,34.88,85.5,828,7.1,14.03,0.15
Brassica juncea,19.75,94.21,2100,6.83,15.69,1.07
Brassica juncea,23.91,76.09,892,5.8,8.71,0.73
Brassica juncea,21.34,84.53,1845,7.28,10.53,1.48
Brassica juncea,18.81,73.71,1704,7.97,15.42,0.08
Brassica juncea,31.9,82.54,998,5.91,11.75,1.66
Brassica juncea,22.54,52.42,2922,5.96,11.55,0.26
Brassica juncea,22.7,78.91,747,6.97,14.51,24.18
Brassica juncea,33.3,43.32,3469,7.41,9.53,0.0
Brassica juncea,19.39,75.36,1933,7.37,13.88,2.37
Brassica juncea,28.3,66.54,1270,6.93,15.99,18.31
Brassica juncea,16.43,63.73,3116,7.92,14.31,0.0
Brassica juncea,15.42,90.14,1649,5.91,15.43,0.04
Brassica juncea,25.0,88.69,1896,6.03,10.29,3.93
Brassica juncea,34.87,58.09,3146,7.03,9.4,0.0
Brassica juncea,18.37,75.68,288,6.49,13.05,1.68
Brassica juncea,30.51,61.76,1063,7.86,10.91,0.07
Brassica juncea,25.57,73.4,1267,6.83,10.82,21.52
Brassica juncea,17.02,89.58,1438,6.77,11.8,0.3
Brassica juncea,25.28,42.5,1488,5.72,14.76,0.14
Brassica juncea,15.87,68.24,878,7.36,14.02,0.08
Brassica juncea,33.74,49.8,1570,6.26,12.17,0.06
Brassica juncea,33.25,60.41,1595,6.14,13.48,0.91
Brassica juncea,32.63,46.43,1453,6.57,8.27,0.0
Brassica juncea,29.45,43.78,2457,7.63,15.94,0.01
Brassica juncea,24.17,66.88,490,7.03,8.34,0.31
Brassica juncea,30.63,58.89,1145,7.14,15.33,2.05
Brassica juncea,22.36,67.98,3450,5.91,12.02,0.71
Brassica juncea,29.27,76.41,214,7.78,8.81,0.02
Brassica juncea,27.14,54.48,3142,6.67,14.1,1.2
Brassica juncea,16.07,82.48,3164,6.2,10.07,0.01
Brassica juncea,17.15,48.66,620,7.62,10.34,0.0
