Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Gladiolus,34.26,84.66,1088,4.64,14.09,0.0
Gladiolus,26.87,59.85,810,7.58,7.79,0.03
Gladiolus,11.59,55.56,2408,5.01,10.49,0.01
Gladiolus,36.14,30.48,784,6.9,14.17,0.0
Gladiolus,21.04,43.88,2717,6.48,6.77,0.71
Gladiolus,41.44,51.68,2542,7.75,11.81,0.0
Gladiolus,12.28,55.72,1038,6.47,13.14,0.01
Gladiolus,39.85,54.73,2899,5.91,15.6,0.0
Gladiolus,16.99,46.05,2636,5.87,14.22,0.15
Gladiolus,13.36,72.34,2366,6.15,15.03,0.03
Gladiolus,16.17,51.21,2784,5.65,6.43,0.23
Gladiolus,8.64,26.15,1093,7.9,11.05,0.0
Gladiolus,20.27,42.29,1010,5.51,6.6,0.34
Gladiolus,32.42,69.37,784,6.6,6.03,0.01
Gladiolus,36.88,23.13,499,6.11,8.76,0.0
Gladiolus,18.51,49.86,3111,6.13,7.02,0.72
Gladiolus,32.59,54.51,1776,4.53,7.6,0.0
Gladiolus,24.61,52.99,2850,7.43,10.39,0.18
Gladiolus,37.25,61.73,1602,6.15,13.62,0.0
Gladiolus,36.54,81.55,3029,7.87,12.21,0.0
Gladiolus,43.97,57.83,1948,6.21,11.91,0.0
Gladiolus,9.76,65.26,2225,5.39,15.84,0.0
Gladiolus,36.75,70.07,1145,6.7,8.78,0.0
Gladiolus,39.16,21.0,904,7.71,13.57,0.0
Gladiolus,18.19,31.36,2226,7.48,10.62,0.0
Gladiolus,15.48,21.79,2235,7.43,11.39,0.0
Gladiolus,44.28,53.56,2330,7.37,13.89,0.0
Gladiolus,30.25,86.23,846,5.05,11.93,0.05
Gladiolus,10.16,88.66,2554,5.72,12.42,0.0
Gladiolus,32.76,86.62,2275,6.17,8.44,0.07
Gladiolus,22.53,78.79,2482,7.75,14.54,0.01
Gladiolus,31.31,65.22,3148,5.38,6.71,0.03
Gladiolus,29.95,40.28,574,7.9,13.26,0.0
Gladiolus,8.29,52.36,3346,6.12,10.9,0.0
Gladiolus,6.2,87.94,3089,5.93,11.83,0.0
Gladiolus,40.99,50.07,1118,7.36,11.31,0.0
Gladiolus,34.52,28.09,2326,7.33,15.73,0.0
Gladiolus,40.92,32.34,2149,6.78,10.39,0.0
Gladiolus,35.77,50.69,2336,6.6,11.47,0.0
