Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Oryza sativa,26.78,76.97,1100,6.83,13.35,0.99
Oryza sativa,37.96,63.15,256,5.06,11.47,0.0
Oryza sativa,22.7,84.17,450,5.96,13.59,10.09
Oryza sativa,34.81,60.98,62,5.23,13.68,0.0
Oryza sativa,34.73,60.59,1053,6.43,11.21,0.0
Oryza sativa,25.84,61.89,1343,5.08,13.66,0.0
Oryza sativa,26.61,60.24,1442,7.12,10.75,0.0
Oryza sativa,35.86,64.26,93,5.88,13.24,0.01
Oryza sativa,35.91,60.05,444,6.51,13.47,0.0
Oryza sativa,35.1,80.42,1065,6.03,12.71,1.62
Oryza sativa,20.92,82.5,1262,5.75,12.92,1.15
Oryza sativa,35.8,65.81,1427,7.21,13.43,0.0
Oryza sativa,20.5,92.79,349,7.21,12.38,0.89
Oryza sativa,28.45,64.94,1346,6.28,11.62,0.07
Oryza sativa,31.4,70.12,1324,6.53,10.59,0.08
Oryza sativa,34.36,91.65,1215,6.57,13.93,0.37
Oryza sativa,22.49,90.59,953,5.3,11.85,2.24
Oryza sativa,30.02,64.34,934,6.7,11.76,0.11
Oryza sativa,27.56,79.85,292,5.04,13.77,0.12
Oryza sativa,28.14,61.96,949,6.82,13.41,0.01
Oryza sativa,37.97,72.2,748,5.06,13.58,0.0
Oryza sativa,28.89,66.7,1373,7.34,13.22,0.0
Oryza sativa,37.29,87.41,771,6.76,12.48,0.91
Oryza sativa,20.45,91.46,864,6.49,12.72,10.04
Oryza sativa,35.89,97.8,590,5.58,13.45,0.54
Oryza sativa,22.54,94.1,488,6.01,12.57,35.77
Oryza sativa,29.49,87.69,477,7.05,10.91,4.48
Oryza sativa,35.54,78.11,246,7.24,11.06,0.06
Oryza sativa,33.74,88.93,104,6.65,13.43,2.79
Oryza sativa,28.58,80.33,776,5.65,11.26,10.35
Oryza sativa,37.15,78.64,194,6.79,13.15,0.19
Oryza sativa,32.35,79.79,840,6.17,12.62,10.36
Oryza sativa,33.85,80.01,1411,6.32,10.29,0.18
Oryza sativa,36.68,79.33,19,5.66,13.35,0.18
Oryza sativa,29.02,84.53,684,6.77,11.71,21.73
Oryza sativa,28.11,85.25,732,7.4,11.94,0.77
Oryza sativa,35.84,65.09,864,5.78,12.95,0.02
Oryza sativa,29.3,68.81,163,6.37,10.63,0.64
Oryza sativa,20.8,71.48,710,6.74,11.37,0.59
Oryza sativa,33.81,81.68,1285,6.03,11.29,1.41
Oryza sativa,37.39,91.65,1269,5.51,12.69,0.09
Oryza sativa,36.74,63.45,1129,6.71,12.93,0.0
Oryza sativa,26.4,72.26,357,6.82,12.79,1.74
Oryza sativa,21.25,83.62,1348,6.99,10.76,0.18
Oryza sativa,23.11,94.38,2,5.86,12.96,10.87
Oryza sativa,37.31,80.08,865,6.22,13.04,0.64
Oryza sativa,21.41,63.9,604,5.8,10.25,0.02
Oryza sativa,24.39,70.78,956,5.31,10.97,0.12
Oryza sativa,37.51,64.62,1052,6.78,11.69,0.0
Oryza sativa,22.95,97.95,517,6.89,13.25,3.83
Oryza sativa,29.75,70.42,556,5.52,10.06,0.14
Oryza sativa,36.21,72.01,645,5.26,11.07,0.02
Oryza sativa,24.5,77.92,1296,6.43,13.71,0.7
Oryza sativa,22.75,67.97,578,7.27,13.5,0.01
Oryza sativa,28.62,68.79,262,6.57,11.69,1.41
Oryza sativa,33.45,75.03,949,6.13,13.88,0.43
Oryza sativa,21.37,91.1,167,6.41,13.14,11.86
Oryza sativa,22.17,63.45,92,5.92,10.6,0.03
Oryza sativa,22.8,80.9,1037,5.93,11.95,9.78
Oryza sativa,35.27,96.36,1019,5.72,13.42,0.66
Oryza sativa,27.43,69.34,257,5.51,13.98,0.09
Oryza sativa,37.41,66.19,1179,6.37,11.11,0.01
Oryza sativa,24.95,78.86,338,6.17,12.91,20.26
Oryza sativa,30.03,76.63,645,7.12,10.32,0.3
Oryza sativa,21.8,75.89,454,7.46,13.88,0.01
Oryza sativa,32.77,97.11,567,7.18,13.75,0.26
Oryza sativa,33.73,77.58,386,5.4,11.3,0.74
Oryza sativa,33.34,92.22,524,5.77,12.76,11.63
Oryza sativa,24.22,76.05,1040,6.55,13.97,0.67
Oryza sativa,28.34,97.75,694,5.08,13.29,0.46
Oryza sativa,24.39,82.32,892,6.61,12.54,16.32
Oryza sativa,20.96,84.95,1222,5.64,13.03,1.15
Oryza sativa,27.19,66.34,383,6.24,10.4,0.33
Oryza sativa,21.08,85.29,693,5.96,12.54,18.09
Oryza sativa,32.95,84.9,317,6.78,12.57,7.31
Oryza sativa,23.37,66.83,736,7.29,11.32,0.02
Oryza sativa,34.23,84.58,1324,7.09,10.04,0.02
Oryza sativa,23.8,66.16,141,6.24,10.6,0.21
Oryza sativa,22.23,74.1,216,6.09,10.05,0.77
Oryza sativa,37.2,80.67,717,6.7,13.46,0.26
Oryza sativa,35.35,97.36,1066,5.56,11.14,0.53
Oryza sativa,35.81,61.37,324,6.08,13.93,0.0
Oryza sativa,33.16,84.37,86,6.33,10.43,3.9
Oryza sativa,37.14,64.19,924,6.74,13.97,0.0
Oryza sativa,30.12,76.64,74,7.15,13.72,0.14
Oryza sativa,35.75,87.82,318,6.07,10.97,4.47
Oryza sativa,20.42,64.31,410,6.3,11.39,0.12
Oryza sativa,23.18,89.02,1433,7.15,12.45,0.22
Oryza sativa,32.88,62.46,1454,5.37,11.29,0.0
Oryza sativa,33.57,97.81,25,6.31,12.86,5.3
Oryza sativa,22.15,62.67,51,7.07,10.66,0.0
Oryza sativa,25.07,99.25,1265,5.02,13.51,0.03
Oryza sativa,20.32,74.64,1412,6.28,11.16,0.2
Oryza sativa,35.99,71.7,1177,5.96,12.37,0.11
Oryza sativa,35.18,72.53,706,7.34,12.72,0.01
