Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Pinus hartwegii,22.51,64.99,1329,8.15,5.25,0.0
Pinus hartwegii,26.88,94.39,361,6.9,8.89,0.03
Pinus hartwegii,37.07,70.13,1234,6.58,11.44,1.05
Pinus hartwegii,25.88,45.73,598,7.07,13.58,13.38
Pinus hartwegii,13.32,24.81,2484,5.92,14.6,0.0
Pinus hartwegii,15.43,29.37,1269,7.73,14.36,0.0
Pinus hartwegii,35.39,31.26,357,6.11,6.63,0.0
Pinus hartwegii,10.45,26.75,2384,5.84,5.99,0.0
Pinus hartwegii,19.63,66.92,2439,6.48,15.34,2.28
Pinus hartwegii,20.48,61.98,2010,6.03,8.26,0.09
Pinus hartwegii,18.18,38.13,1536,6.27,4.6,0.0
Pinus hartwegii,25.9,47.51,342,7.58,10.68,0.55
Pinus hartwegii,19.16,20.82,737,5.11,15.17,0.0
Pinus hartwegii,27.86,72.3,1945,5.19,7.22,0.01
Pinus hartwegii,29.53,11.77,1045,8.27,9.08,0.0
Pinus hartwegii,30.51,73.12,1872,7.49,12.31,4.09
Pinus hartwegii,30.15,19.47,503,6.27,12.34,0.15
Pinus hartwegii,12.03,23.41,1916,8.04,14.73,0.0
Pinus hartwegii,30.21,38.77,381,8.32,9.81,0.0
Pinus hartwegii,13.2,70.75,580,7.74,14.32,0.0
Pinus hartwegii,25.32,88.37,1535,6.82,15.96,2.87
Pinus hartwegii,39.4,88.82,2179,6.72,12.84,0.02
Pinus hartwegii,21.98,37.4,617,7.74,8.33,0.0
Pinus hartwegii,22.77,17.3,1630,6.27,6.02,0.0
Pinus hartwegii,16.85,56.21,939,6.69,8.64,0.01
Pinus hartwegii,25.42,72.2,1823,8.13,12.19,0.14
Pinus hartwegii,11.39,58.07,1490,8.2,4.82,0.0
Pinus hartwegii,12.91,66.4,1395,6.91,7.23,0.0
Pinus hartwegii,14.63,61.98,2147,7.38,8.42,0.0
Pinus hartwegii,17.61,74.84,2341,6.12,8.6,0.01
Pinus hartwegii,30.69,30.51,2174,7.15,6.68,0.0
Pinus hartwegii,28.58,71.08,2047,5.04,10.07,0.12
Pinus hartwegii,37.92,11.98,1330,7.65,14.1,0.0
Pinus hartwegii,15.5,49.91,1548,7.58,7.82,0.0
Pinus hartwegii,32.26,98.59,1863,6.47,5.19,0.0
Pinus hartwegii,31.85,68.51,1736,5.28,15.47,1.59
Pinus hartwegii,31.25,77.03,394,7.28,15.86,2.32
Pinus hartwegii,33.63,55.93,1195,8.4,7.12,0.0
Pinus hartwegii,21.86,92.25,552,6.13,6.59,0.0
Pinus hartwegii,25.24,92.4,2461,5.86,12.31,0.44
Pinus hartwegii,16.11,51.65,1257,6.48,13.62,0.23
Pinus hartwegii,23.24,68.55,428,5.62,10.59,0.77
Pinus hartwegii,35.9,74.58,1597,8.06,6.11,0.0
Pinus hartwegii,15.86,32.65,543,6.79,12.77,0.01
Pinus hartwegii,11.07,49.8,1219,6.74,15.23,0.0
Pinus hartwegii,18.04,57.47,2188,5.46,12.81,0.12
Pinus hartwegii,27.59,78.47,387,8.37,15.6,0.01
Pinus hartwegii,28.31,23.75,1192,5.45,8.6,0.0
Pinus hartwegii,33.89,36.63,425,5.18,14.2,0.06
Pinus hartwegii,37.19,78.67,1030,5.05,15.25,0.01
Pinus hartwegii,25.02,93.53,337,5.11,9.98,0.0
Pinus hartwegii,16.73,91.11,2234,8.06,8.88,0.0
Pinus hartwegii,10.69,81.3,1172,5.87,9.2,0.0
Pinus hartwegii,39.08,38.75,1249,7.01,11.02,0.03
Pinus hartwegii,39.68,61.81,852,5.67,15.88,0.05
Pinus hartwegii,28.28,22.83,489,5.91,6.48,0.0
Pinus hartwegii,37.09,31.74,1578,7.5,15.55,0.03
Pinus hartwegii,26.02,58.23,2265,6.36,15.7,39.51
Pinus hartwegii,36.45,47.38,1008,5.32,11.42,0.08
Pinus hartwegii,33.6,56.65,2238,6.86,10.09,2.18
Pinus hartwegii,23.04,74.35,1475,6.67,12.47,13.3
Pinus hartwegii,14.1,86.18,1321,8.05,11.31,0.0
Pinus hartwegii,12.94,14.66,586,6.79,15.5,0.0
Pinus hartwegii,18.56,14.46,1036,7.01,9.53,0.0
Pinus hartwegii,16.08,73.52,1972,7.19,12.35,0.04
Pinus hartwegii,20.32,52.65,1664,6.4,9.75,0.76
Pinus hartwegii,19.79,96.21,1833,6.63,15.58,0.06
Pinus hartwegii,39.21,38.05,959,7.17,9.38,0.0
Pinus hartwegii,15.55,86.15,601,7.83,15.48,0.0
