Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Rhododendron arboreum,10.65,75.91,3202,5.34,9.35,2.08
Rhododendron arboreum,7.19,85.65,2925,6.35,4.92,0.0
Rhododendron arboreum,24.16,53.72,3467,5.5,4.04,0.0
Rhododendron arboreum,5.7,77.72,2824,5.2,4.92,0.0
Rhododendron arboreum,8.81,72.3,3330,4.6,7.14,0.01
Rhododendron arboreum,24.15,62.6,2624,6.43,10.32,0.01
Rhododendron arboreum,9.51,70.6,3066,4.75,10.19,0.05
Rhododendron arboreum,20.59,53.84,3220,6.0,9.4,1.22
Rhododendron arboreum,19.71,81.45,3632,6.45,10.29,0.06
Rhododendron arboreum,9.69,79.13,2230,4.64,10.64,0.01
Rhododendron arboreum,24.28,47.57,2131,5.66,7.99,0.02
Rhododendron arboreum,11.66,81.81,3180,6.39,5.45,0.42
Rhododendron arboreum,19.73,49.04,2412,5.38,10.29,0.82
Rhododendron arboreum,20.51,56.81,2686,6.26,4.39,0.17
Rhododendron arboreum,10.39,45.23,2235,6.04,5.59,0.55
Rhododendron arboreum,8.88,60.99,1803,6.02,9.05,1.6
Rhododendron arboreum,20.1,53.52,1910,5.58,5.27,0.65
Rhododendron arboreum,14.28,48.71,2372,4.73,9.83,0.33
Rhododendron arboreum,13.74,85.28,2563,4.64,10.9,0.03
Rhododendron arboreum,12.53,67.02,3353,5.48,11.1,1.88
Rhododendron arboreum,7.22,77.29,1639,5.29,9.2,0.04
Rhododendron arboreum,12.71,52.21,2640,6.4,5.17,1.55
Rhododendron arboreum,16.21,78.9,2522,4.53,11.54,0.01
Rhododendron arboreum,22.57,71.91,2182,5.29,7.32,0.28
Rhododendron arboreum,10.94,88.69,2394,4.92,5.82,0.05
Rhododendron arboreum,21.17,83.24,2341,5.43,10.29,0.18
Rhododendron arboreum,21.43,65.13,2635,6.2,8.55,2.05
Rhododendron arboreum,19.34,86.94,2139,5.82,10.62,0.36
Rhododendron arboreum,12.07,54.88,1982,4.59,9.21,0.16
Rhododendron arboreum,7.57,78.41,2094,4.91,11.25,0.0
Rhododendron arboreum,17.62,59.69,2591,4.62,6.7,0.44
Rhododendron arboreum,13.06,63.84,2069,5.28,4.23,1.03
Rhododendron arboreum,18.84,47.12,1792,4.87,10.77,0.04
Rhododendron arboreum,13.27,65.64,3257,5.98,11.5,2.11
Rhododendron arboreum,6.71,77.88,2126,5.32,5.41,0.02
Rhododendron arboreum,11.37,68.55,2871,5.16,8.78,6.59
Rhododendron arboreum,16.27,64.59,2490,5.71,8.12,85.32
Rhododendron arboreum,16.1,80.43,2318,6.18,7.47,15.9
Rhododendron arboreum,16.23,89.6,2996,5.39,11.66,0.09
Rhododendron arboreum,12.48,63.77,1646,5.06,7.84,3.89
Rhododendron arboreum,6.93,84.83,1780,6.1,5.91,0.01
Rhododendron arboreum,6.5,86.57,1701,5.67,10.07,0.0
Rhododendron arboreum,5.85,87.27,3146,4.5,11.0,0.0
Rhododendron arboreum,5.31,80.68,2392,6.29,11.9,0.0
Rhododendron arboreum,19.01,75.95,3681,5.72,9.8,1.04
Rhododendron arboreum,8.23,87.71,2935,5.03,8.41,0.02
Rhododendron arboreum,5.43,66.52,2388,5.93,11.18,0.01
Rhododendron arboreum,17.1,55.99,2580,5.05,4.14,0.29
Rhododendron arboreum,15.8,45.08,1706,5.8,10.68,1.11
Rhododendron arboreum,10.31,43.76,2659,4.88,6.65,0.08
Rhododendron arboreum,21.76,89.84,2183,5.84,11.15,0.01
Rhododendron arboreum,20.2,69.88,2002,6.5,9.84,0.75
